UDISE Code,SchoolName,State,District,Block,Pin Code,School Management,School Category,School Type,Library Availability,Starting Class,Ending Class,Playground Available,ICT Lab,Internet,Desktop,Laptop,Tablet,Printer,Projector
09590201902,J,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,0,0,0,0,0
09590203101,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590203603,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
09590203604,MA BARSATI DEVI MEMO PUBLIC SCHOOL LOHJHAR SUKRAULI,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,No,1,8,Yes,No,Y,0,0,0,0,0
09590204001,J,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,No,1,8,No,No,N,0,0,0,0,0
09590204505,J,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,No,No,N,0,0,0,0,0
09590204901,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590204903,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590204904,G,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590205302,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
09590205303,SMT KAMLA K S N P P  MAHUAWA CHILUA,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
09590205701,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590206001,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590206002,F B SL M V AHIRAULI,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,0,0,0,0,0
09590209001,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590209301,NETAJI S C B I,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,2,1,0,1,0
09590209302,P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590209303,GANGA SINGH KANYA  P,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,No,1,8,Yes,No,N,0,0,0,0,0
09590209402,SMT FULA DEVI RAMPUR TURKDIHA,Uttar Pradesh,KUSHINAGAR Block,SUKRAULI,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
09590400202,VIDYARTHI I,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,1,0,0,1,0
09590400206,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,0,0,0,0,0
09590400402,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,No,No,N,0,0,0,0,0
09590400502,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590401002,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,0,0,0,0,0
09590401003,THAKUR PARSAD H,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590401201,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590401501,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590401801,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590401802,J L M V SOMALI,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,Yes,6,8,Yes,No,N,0,0,0,0,0
09590401806,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590401807,MADARSA ISLAMIYA NID MILLAT AH SUN SOMALI,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,97-Madrasa Private Unaided,Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590401902,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,0,0,0,0,0
09590401903,RAJWANTA DEVI PUBLIC SCHOOL AMDIHA BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590402002,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590402102,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590402103,PRAGYA EDUCATIONAL ACADEMY RAGHUNATHPUR  CAPTANGANJ,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,Yes,1,5,No,No,Y,0,0,0,0,0
09590402401,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590402504,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590402505,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590402506,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590402507,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590402601,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590402602,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,Yes,No,N,0,0,0,0,0
09590403101,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590403102,J J INTER COLLEGE PEMALI,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,N,0,0,0,0,0
09590403103,M S S S M PEMALI,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590403202,S,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,1,0,0,1,1
09590403203,SAMAJ KALYAN P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590403205,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590403301,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590403302,P INTER COLLEGE BODARAWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,0,0,0,0,0
09590403303,S S M BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,N,0,0,0,0,0
09590403304,HANSRAJ DEVI K,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,No,No,Y,0,0,0,0,0
09590403305,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590403306,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,Yes,No,N,0,0,0,0,0
09590403307,BHAGWANT PANDAY INTERMEDIATE COLLEGE BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Up. Pr. Secondary and Higher Sec,Co-educational,No,6,12,No,No,Y,0,0,0,0,0
09590403309,KGBV BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Girls,Yes,6,8,Yes,No,Y,0,0,0,0,0
09590403310,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Secondary with Higher Secondary,Co-educational,Yes,9,12,Yes,No,N,0,0,0,0,0
09590403312,SHYAMA PUB U M V BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,1,1,1,1,0
09590403313,R A NATIONAL PUBLIC SCHOOL BODARWAR CAPTANGANJ,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590403401,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590403501,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590403704,SRI HIRA VISHWKARMA  H,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590403705,SRI HIRA VISHWKARMA P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,Yes,No,Y,0,0,0,0,0
09590403801,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590403902,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Upper Primary only,Co-educational,No,6,8,Yes,No,Y,0,0,0,0,0
09590403903,SITARAM P S PADAULI BODARWAR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,No,1,8,Yes,No,Y,8,0,0,1,0
09590404003,BANSRAJ SINGH I C LAKHIMA,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Pr. with Up.Pr. sec. and H.Sec.,Co-educational,Yes,1,12,Yes,No,N,1,0,0,0,1
09590404101,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590404202,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590404401,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590404402,J H S BADAHARA BABU,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,Yes,No,N,0,0,0,0,0
09590404406,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590404601,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590404602,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590404603,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,Y,0,0,0,0,0
09590404801,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590404802,S,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590404803,S P J H S MUJDIHA,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,No,No,Y,0,0,0,0,0
09590404804,KAILASHI DEVI CENTRAL ACADEMY MUJDIAHA,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,Y,0,0,0,0,0
09590404902,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590405001,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,1,0,0,0,0
09590405004,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Upper Primary only,Co-educational,Yes,6,8,Yes,No,N,0,0,0,0,0
09590405101,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590405902,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590405903,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590406002,KISAN INTER COLLEGE KUNDUR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,0,2,0,1,0
09590406003,K HH P V KUNDUR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590406103,Dr,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,273152,5-Private Unaided (Recognized),Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590406104,Dr,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,Yes,No,Y,0,0,0,0,0
09590406501,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590406802,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,No,No,N,0,0,0,0,0
09590406803,P GAURI SHANKAR PANDEY K UMV MAHUAWA KHURD,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Pr. Up Pr. and Secondary Only,Co-educational,No,1,10,Yes,No,N,0,0,0,0,0
09590406804,G S J H S MAHUAWA KHURD,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,Yes,No,N,0,0,0,0,0
09590407301,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590407302,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590407303,V,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,Yes,1,5,No,No,Y,0,0,0,0,0
09590407305,G,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,No,No,Y,0,0,0,0,0
09590407307,LITTLE ANGELS PUBLIC SCHOOL,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,Y,0,0,0,0,0
09590407401,P,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,Yes,No,N,0,0,0,0,0
09590407402,G D I C MANSOOR GANJ,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,4-Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,Co-educational,Yes,6,12,Yes,No,Y,2,1,1,1,0
09590407403,S G B P M V MANSOOR GANJ,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Upper Primary only,Co-educational,No,6,8,No,No,Y,0,0,0,0,0
09590407404,R P S P P MANSOOR GANJ,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590407408,G,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,Yes,No,Y,0,0,0,0,0
09590407409,K,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary,Co-educational,Yes,1,5,No,No,N,0,0,0,0,0
09590407411,SMT,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
09590407502,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590407602,J,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,274149,1-Department of Education,Primary with Upper Primary,Co-educational,Yes,1,8,Yes,No,N,0,0,0,0,0
09590407706,R K PANDEY S S NIKETAN GHODADEUR,Uttar Pradesh,KUSHINAGAR Block,KAPTANGANJ,273152,5-Private Unaided (Recognized),Primary,Co-educational,No,1,5,No,No,Y,0,0,0,0,0
